Date,Open,High,Low,Close,Adj Close,Volume
"Nov 30, 2023",4554.87,4569.89,4537.24,4567.8,4567.8,5399300000
"Nov 29, 2023",4571.84,4587.64,4547.15,4550.58,4550.58,4418760000
"Nov 28, 2023",4545.55,4568.14,4540.51,4554.89,4554.89,3586240000
"Nov 27, 2023",4554.86,4560.52,4546.32,4550.43,4550.43,3403990000
"Nov 24, 2023",4555.84,4560.31,4552.8,4559.34,4559.34,1639500000
"Nov 22, 2023",4553.04,4568.43,4545.05,4556.62,4556.62,3042810000
"Nov 21, 2023",4538.77,4542.14,4525.51,4538.19,4538.19,3511080000
"Nov 20, 2023",4511.7,4557.11,4510.36,4547.38,4547.38,3644790000
"Nov 17, 2023",4509.55,4520.12,4499.66,4514.02,4514.02,3777240000
"Nov 16, 2023",4497.08,4511.99,4487.83,4508.24,4508.24,3964520000
"Nov 15, 2023",4505.3,4521.17,4495.31,4502.88,4502.88,4347170000
"Nov 14, 2023",4458.97,4508.67,4458.97,4495.7,4495.7,4700350000
"Nov 13, 2023",4406.66,4421.76,4393.82,4411.55,4411.55,3326240000
"Nov 10, 2023",4364.15,4418.03,4353.34,4415.24,4415.24,3665080000
"Nov 9, 2023",4391.41,4393.4,4343.94,4347.35,4347.35,3900780000
"Nov 8, 2023",4384.37,4391.2,4359.76,4382.78,4382.78,3729510000
"Nov 7, 2023",4366.21,4386.26,4355.41,4378.38,4378.38,3791230000
"Nov 6, 2023",4364.27,4372.21,4347.53,4365.98,4365.98,3656340000
"Nov 3, 2023",4334.23,4373.62,4334.23,4358.34,4358.34,4570960000
"Nov 2, 2023",4268.26,4319.72,4268.26,4317.78,4317.78,4669780000
"Nov 1, 2023",4201.27,4245.64,4197.74,4237.86,4237.86,4224900000
"Oct 31, 2023",4171.33,4195.55,4153.12,4193.8,4193.8,4249470000
"Oct 30, 2023",4139.39,4177.47,4132.94,4166.82,4166.82,3911140000
"Oct 27, 2023",4152.93,4156.7,4103.78,4117.37,4117.37,4019500000
"Oct 26, 2023",4175.99,4183.6,4127.9,4137.23,4137.23,4277640000
"Oct 25, 2023",4232.42,4232.42,4181.42,4186.77,4186.77,3869370000
"Oct 24, 2023",4235.79,4259.38,4219.43,4247.68,4247.68,3821820000
