Epoch,train_loss,val_loss,val_accuracy,val_auc,val_precision,val_recall,val_f1
1,0.6905750244566538,0.6761355410922657,0.6363636363636364,0.7777777777777778,0.7911025145067698,0.6363636363636364,0.5844935844935845
2,0.6762669042090382,0.6632060246034102,0.7272727272727273,0.7923280423280423,0.7530712530712531,0.7272727272727273,0.7188811188811189
3,0.6685601438133462,0.6538506757129322,0.6545454545454545,0.8029100529100529,0.7169133192389007,0.6545454545454545,0.6246035654486359
4,0.6635219317809663,0.6454912695017728,0.6545454545454545,0.8042328042328042,0.7169133192389007,0.6545454545454545,0.6246035654486359
5,0.6560462238719162,0.6431712811643427,0.7272727272727273,0.8134920634920635,0.734159779614325,0.7272727272727273,0.7245354177438486
6,0.652557054383855,0.6335347359830683,0.6545454545454545,0.8346560846560847,0.7169133192389007,0.6545454545454545,0.6246035654486359
7,0.6459073171646463,0.6320997519926591,0.7454545454545455,0.8253968253968254,0.750098814229249,0.7454545454545455,0.7437575757575757
8,0.6394026200362394,0.6204502214084971,0.6545454545454545,0.8240740740740741,0.7169133192389007,0.6545454545454545,0.6246035654486359
9,0.6367501242261102,0.6131212537938898,0.6727272727272727,0.8346560846560847,0.7305361305361305,0.6727272727272727,0.6481818181818183
10,0.6275328698667507,0.6051366220821034,0.6545454545454545,0.832010582010582,0.7169133192389007,0.6545454545454545,0.6246035654486359
11,0.6292239576095902,0.5980113300410184,0.6727272727272727,0.8267195767195767,0.7305361305361305,0.6727272727272727,0.6481818181818183
12,0.6127434756763545,0.591556453704834,0.7090909090909091,0.8267195767195767,0.7563636363636363,0.7090909090909091,0.6932009167303286
13,0.6038091603220473,0.5840258674188094,0.7272727272727273,0.8306878306878307,0.7689393939393939,0.7272727272727273,0.7147770660439874
14,0.5985767013818315,0.5762626019391146,0.7090909090909091,0.8333333333333333,0.7392063045313819,0.7090909090909091,0.6980716253443525
15,0.5837545682311444,0.5677359515970404,0.7636363636363637,0.8346560846560847,0.780909090909091,0.7636363636363637,0.7591661293788953
16,0.5748367708863564,0.5551672306927767,0.7636363636363637,0.8373015873015873,0.780909090909091,0.7636363636363637,0.7591661293788953
17,0.5675396577825824,0.5481303518468683,0.7272727272727273,0.8386243386243386,0.7273932963588137,0.7272727272727273,0.727092172971021
18,0.5614646855488564,0.5342656103047457,0.7636363636363637,0.8505291005291005,0.780909090909091,0.7636363636363637,0.7591661293788953
19,0.544484635387038,0.5213537996465509,0.7090909090909091,0.8492063492063493,0.7098181818181817,0.7090909090909091,0.7085121774776947
20,0.5291441663569231,0.5070503755049272,0.7454545454545455,0.8584656084656085,0.7454545454545455,0.7454545454545455,0.7454545454545455
